TITLE="Farm Bathymetry"
VARIABLES="X"
"Y"
"Z"
ZONE T="Bathymetry_Data"
I=512
J=1
K=1
F=POINT
400.0000 400.0000 -67.0000
400.0000 1200.0000 -67.0000
1200.0000 400.0000 -67.0000
1200.0000 1200.0000 -67.0000
400.0000 2000.0000 -68.0000
1200.0000 2000.0000 -68.0000
400.0000 2800.0000 -68.0000
1200.0000 2800.0000 -67.0000
400.0000 3600.0000 -67.0000
1200.0000 3600.0000 -67.0000
400.0000 4400.0000 -66.0000
1200.0000 4400.0000 -65.0000
400.0000 5200.0000 -65.0000
1200.0000 5200.0000 -64.0000
400.0000 6000.0000 -62.0000
1200.0000 6000.0000 -61.0000
400.0000 6800.0000 -62.0000
1200.0000 6800.0000 -55.0000
400.0000 7600.0000 -60.0000
1200.0000 7600.0000 -59.0000
400.0000 8400.0000 -60.0000
1200.0000 8400.0000 -59.0000
400.0000 9200.0000 -59.0000
1200.0000 9200.0000 -57.0000
400.0000 10000.0000 -60.0000
1200.0000 10000.0000 -58.0000
400.0000 10800.0000 -62.0000
1200.0000 10800.0000 -61.0000
400.0000 11600.0000 -62.0000
1200.0000 11600.0000 -61.0000
400.0000 12400.0000 -62.0000
1200.0000 12400.0000 -61.0000
2000.0000 400.0000 -67.0000
2000.0000 1200.0000 -67.0000
2000.0000 2000.0000 -67.0000
2000.0000 2800.0000 -67.0000
2000.0000 3600.0000 -66.0000
2000.0000 4400.0000 -64.0000
2000.0000 5200.0000 -63.0000
2000.0000 6000.0000 -60.0000
2000.0000 6800.0000 -59.0000
2000.0000 7600.0000 -59.0000
2000.0000 8400.0000 -59.0000
2000.0000 9200.0000 -57.0000
2000.0000 10000.0000 -58.0000
2000.0000 10800.0000 -59.0000
2000.0000 11600.0000 -59.0000
2000.0000 12400.0000 -58.0000
2800.0000 400.0000 -67.0000
2800.0000 1200.0000 -67.0000
2800.0000 2000.0000 -66.0000
2800.0000 2800.0000 -66.0000
2800.0000 3600.0000 -65.0000
2800.0000 4400.0000 -63.0000
2800.0000 5200.0000 -63.0000
2800.0000 6000.0000 -60.0000
2800.0000 6800.0000 -59.0000
2800.0000 7600.0000 -57.0000
2800.0000 8400.0000 -58.0000
2800.0000 9200.0000 -59.0000
2800.0000 10000.0000 -59.0000
2800.0000 10800.0000 -57.0000
2800.0000 11600.0000 -56.0000
2800.0000 12400.0000 -54.0000
3600.0000 400.0000 -67.0000
3600.0000 1200.0000 -66.0000
3600.0000 2000.0000 -66.0000
3600.0000 2800.0000 -65.0000
3600.0000 3600.0000 -64.0000
3600.0000 4400.0000 -63.0000
3600.0000 5200.0000 -63.0000
3600.0000 6000.0000 -61.0000
3600.0000 6800.0000 -59.0000
3600.0000 7600.0000 -60.0000
3600.0000 8400.0000 -61.0000
3600.0000 9200.0000 -62.0000
3600.0000 10000.0000 -60.0000
3600.0000 10800.0000 -56.0000
3600.0000 11600.0000 -54.0000
3600.0000 12400.0000 -50.0000
4400.0000 400.0000 -67.0000
4400.0000 1200.0000 -66.0000
4400.0000 2000.0000 -66.0000
4400.0000 2800.0000 -65.0000
4400.0000 3600.0000 -64.0000
4400.0000 4400.0000 -63.0000
4400.0000 5200.0000 -63.0000
4400.0000 6000.0000 -62.0000
4400.0000 6800.0000 -61.0000
4400.0000 7600.0000 -62.0000
4400.0000 8400.0000 -65.0000
4400.0000 9200.0000 -64.0000
4400.0000 10000.0000 -60.0000
4400.0000 10800.0000 -55.0000
4400.0000 11600.0000 -53.0000
4400.0000 12400.0000 -50.0000
5200.0000 400.0000 -67.0000
5200.0000 1200.0000 -67.0000
5200.0000 2000.0000 -66.0000
5200.0000 2800.0000 -66.0000
5200.0000 3600.0000 -65.0000
5200.0000 4400.0000 -64.0000
5200.0000 5200.0000 -63.0000
5200.0000 6000.0000 -61.0000
5200.0000 6800.0000 -61.0000
5200.0000 7600.0000 -61.0000
5200.0000 8400.0000 -62.0000
5200.0000 9200.0000 -62.0000
5200.0000 10000.0000 -60.0000
5200.0000 10800.0000 -55.0000
5200.0000 11600.0000 -52.0000
5200.0000 12400.0000 -50.0000
6000.0000 400.0000 -59.0000
6000.0000 1200.0000 -67.0000
6000.0000 2000.0000 -67.0000
6000.0000 2800.0000 -66.0000
6000.0000 3600.0000 -65.0000
6000.0000 4400.0000 -63.0000
6000.0000 5200.0000 -62.0000
6000.0000 6000.0000 -61.0000
6000.0000 6800.0000 -60.0000
6000.0000 7600.0000 -59.0000
6000.0000 8400.0000 -59.0000
6000.0000 9200.0000 -61.0000
6000.0000 10000.0000 -61.0000
6000.0000 10800.0000 -57.0000
6000.0000 11600.0000 -53.0000
6000.0000 12400.0000 -53.0000
6800.0000 400.0000 -55.0000
6800.0000 1200.0000 -65.0000
6800.0000 2000.0000 -65.0000
6800.0000 2800.0000 -63.0000
6800.0000 3600.0000 -63.0000
6800.0000 4400.0000 -62.0000
6800.0000 5200.0000 -62.0000
6800.0000 6000.0000 -60.0000
6800.0000 6800.0000 -58.0000
6800.0000 7600.0000 -56.0000
6800.0000 8400.0000 -56.0000
6800.0000 9200.0000 -60.0000
6800.0000 10000.0000 -63.0000
6800.0000 10800.0000 -59.0000
6800.0000 11600.0000 -57.0000
6800.0000 12400.0000 -59.0000
7600.0000 400.0000 -53.0000
7600.0000 1200.0000 -64.0000
7600.0000 2000.0000 -64.0000
7600.0000 2800.0000 -63.0000
7600.0000 3600.0000 -63.0000
7600.0000 4400.0000 -62.0000
7600.0000 5200.0000 -61.0000
7600.0000 6000.0000 -60.0000
7600.0000 6800.0000 -58.0000
7600.0000 7600.0000 -57.0000
7600.0000 8400.0000 -57.0000
7600.0000 9200.0000 -60.0000
7600.0000 10000.0000 -61.0000
7600.0000 10800.0000 -61.0000
7600.0000 11600.0000 -56.0000
7600.0000 12400.0000 -50.0000
8400.0000 400.0000 -53.0000
8400.0000 1200.0000 -63.0000
8400.0000 2000.0000 -63.0000
8400.0000 2800.0000 -63.0000
8400.0000 3600.0000 -63.0000
8400.0000 4400.0000 -62.0000
8400.0000 5200.0000 -62.0000
8400.0000 6000.0000 -61.0000
8400.0000 6800.0000 -61.0000
8400.0000 7600.0000 -60.0000
8400.0000 8400.0000 -61.0000
8400.0000 9200.0000 -62.0000
8400.0000 10000.0000 -61.0000
8400.0000 10800.0000 -56.0000
8400.0000 11600.0000 -56.0000
8400.0000 12400.0000 -51.0000
9200.0000 400.0000 -52.0000
9200.0000 1200.0000 -63.0000
9200.0000 2000.0000 -63.0000
9200.0000 2800.0000 -62.0000
9200.0000 3600.0000 -61.0000
9200.0000 4400.0000 -62.0000
9200.0000 5200.0000 -62.0000
9200.0000 6000.0000 -62.0000
9200.0000 6800.0000 -62.0000
9200.0000 7600.0000 -62.0000
9200.0000 8400.0000 -62.0000
9200.0000 9200.0000 -61.0000
9200.0000 10000.0000 -58.0000
9200.0000 10800.0000 -54.0000
9200.0000 11600.0000 -53.0000
9200.0000 12400.0000 -50.0000
10000.0000 400.0000 -50.0000
10000.0000 1200.0000 -50.0000
10000.0000 2000.0000 -52.0000
10000.0000 2800.0000 -56.0000
10000.0000 3600.0000 -58.0000
10000.0000 4400.0000 -61.0000
10000.0000 5200.0000 -62.0000
10000.0000 6000.0000 -62.0000
10000.0000 6800.0000 -62.0000
10000.0000 7600.0000 -60.0000
10000.0000 8400.0000 -59.0000
10000.0000 9200.0000 -58.0000
10000.0000 10000.0000 -55.0000
10000.0000 10800.0000 -53.0000
10000.0000 11600.0000 -52.0000
10000.0000 12400.0000 -52.0000
10800.0000 400.0000 -51.0000
10800.0000 1200.0000 -50.0000
10800.0000 2000.0000 -50.0000
10800.0000 2800.0000 -50.0000
10800.0000 3600.0000 -55.0000
10800.0000 4400.0000 -61.0000
10800.0000 5200.0000 -62.0000
10800.0000 6000.0000 -61.0000
10800.0000 6800.0000 -59.0000
10800.0000 7600.0000 -54.0000
10800.0000 8400.0000 -54.0000
10800.0000 9200.0000 -53.0000
10800.0000 10000.0000 -53.0000
10800.0000 10800.0000 -51.0000
10800.0000 11600.0000 -51.0000
10800.0000 12400.0000 -50.0000
11600.0000 400.0000 -59.0000
11600.0000 1200.0000 -55.0000
11600.0000 2000.0000 -53.0000
11600.0000 2800.0000 -50.0000
11600.0000 3600.0000 -59.0000
11600.0000 4400.0000 -62.0000
11600.0000 5200.0000 -62.0000
11600.0000 6000.0000 -61.0000
11600.0000 6800.0000 -57.0000
11600.0000 7600.0000 -50.0000
11600.0000 8400.0000 -50.0000
11600.0000 9200.0000 -51.0000
11600.0000 10000.0000 -51.0000
11600.0000 10800.0000 -50.0000
11600.0000 11600.0000 -50.0000
11600.0000 12400.0000 -50.0000
12400.0000 400.0000 -61.0000
12400.0000 1200.0000 -60.0000
12400.0000 2000.0000 -60.0000
12400.0000 2800.0000 -62.0000
12400.0000 3600.0000 -62.0000
12400.0000 4400.0000 -60.0000
12400.0000 5200.0000 -58.0000
12400.0000 6000.0000 -55.0000
12400.0000 6800.0000 -55.0000
12400.0000 7600.0000 -52.0000
12400.0000 8400.0000 -50.0000
12400.0000 9200.0000 -50.0000
12400.0000 10000.0000 -50.0000
12400.0000 10800.0000 -50.0000
12400.0000 11600.0000 -50.0000
12400.0000 12400.0000 -50.0000
13200.0000 400.0000 -61.0000
13200.0000 1200.0000 -62.0000
13200.0000 2000.0000 -62.0000
13200.0000 2800.0000 -62.0000
13200.0000 3600.0000 -60.0000
13200.0000 4400.0000 -58.0000
13200.0000 5200.0000 -57.0000
13200.0000 6000.0000 -55.0000
13200.0000 6800.0000 -55.0000
13200.0000 7600.0000 -53.0000
13200.0000 8400.0000 -52.0000
13200.0000 9200.0000 -51.0000
13200.0000 10000.0000 -50.0000
